source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON_UMF_So_221026_meio_1,EMOBON mimarks-specimen sediment sample from station UMF collected on 2022-10-26 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,meio,,1,32,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,NA,-20,Annie Marie Cox,NA,NA,NA,N,NA,2023-09-06 00:00:00,2023-09-13 00:00:00,-70,2024-04-17 00:00:00,2024-04-18 00:00:00,batch_5,F,NA,,EMOBON_UMF_So_1
EMOBON_UMF_So_221026_meio_2,EMOBON mimarks-specimen sediment sample from station UMF collected on 2022-10-26 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,meio,,2,32,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,NA,-20,Annie Marie Cox,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_2
EMOBON_UMF_So_221026_meio_3,EMOBON mimarks-specimen sediment sample from station UMF collected on 2022-10-26 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,meio,,3,32,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,"UMF, A13B passage, -80 freezer",-20,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_3
EMOBON_UMF_So_221026_meio_4,EMOBON mimarks-specimen sediment sample from station UMF collected on 2022-10-26 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,meio,,4,32,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,"UMF, A13B passage, -80 freezer",-20,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_4
EMOBON_UMF_So_221026_micro_1,EMOBON metagenome sediment sample from station UMF collected on 2022-10-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,micro,,1,NA,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,NA,-80,Annie Marie Cox,NA,NA,NA,N,NA,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,2024-04-17 00:00:00,2024-04-18 00:00:00,batch_4,F,NA,,EMOBON_UMF_So_5
EMOBON_UMF_So_221026_micro_2,EMOBON metagenome sediment sample from station UMF collected on 2022-10-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,micro,,2,NA,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,NA,-80,Annie Marie Cox,NA,NA,NA,N,NA,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,2024-04-17 00:00:00,2024-04-18 00:00:00,batch_4,F,NA,,EMOBON_UMF_So_6
EMOBON_UMF_So_221026_micro_3,EMOBON metagenome sediment sample from station UMF collected on 2022-10-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,micro,,3,NA,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,"UMF, A13B passage, -80 freezer, box 1",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_7
EMOBON_UMF_So_221026_micro_4,EMOBON metagenome sediment sample from station UMF collected on 2022-10-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,micro,,4,NA,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,"UMF, A13B passage, -80 freezer, box 1",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_8
EMOBON_UMF_So_221026_micro_blank,EMOBON metagenome sediment sample from station UMF collected on 2022-10-26 community collected micro,256318,metagenome,metagenome,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,micro,,blank_1,NA,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,"UMF, A13B passage, -80 freezer, box 1",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_So_9
EMOBON_UMF_So_221026_macro_1,EMOBON mimarks-specimen sediment sample from station UMF collected on 2022-10-26 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-26 00:00:00,UMF_So_221026,Annie Marie Cox,NA,,macro,,1,1000,NA,13,Van Veen Grab,SoSOP3,NA,2022-10-26 00:00:00,NA,4,Annie Marie Cox,NA,NA,NA,N,NA,2023-09-06 00:00:00,2023-09-13 00:00:00,-70,2024-04-17 00:00:00,2024-04-18 00:00:00,batch_4,F,NA,,EMOBON_UMF_So_10
