source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON UMF Wa 221025 10um (blank),EMOBON metagenome water sample from station UMF collected on 2022-10-25 size fraction 10-20um,256318,metagenome,metagenome,marine water body [ENVO:00001999],2022-10-25 00:00:00,UMF_Wa_221025,Annie Marie Cox,,no_tide,,,blank_1,0.25,0,10-20,10,2000,N,plankton net ,WaSOP2,mq,2022-10-25 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_34
EMO BON UMF Wa 221201 3um (1),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,1,5,1,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,,,NA,NA,NA,EMOBON_UMF_Wa_35
EMO BON UMF Wa 221201 3um (2),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,2,5,1,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,,,NA,NA,NA,EMOBON_UMF_Wa_36
EMO BON UMF Wa 221201 3um (3),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,3,5,1,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_37
EMO BON UMF Wa 221201 3um (4),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,4,5,1,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_38
EMO BON UMF Wa 221201 0.2um (1),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,1,3.92,1,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,,,NA,NA,NA,EMOBON_UMF_Wa_39
EMO BON UMF Wa 221201 0.2um (2),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,2,3.92,1,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2023-06-12 00:00:00,2023-06-14 00:00:00,-70,,,NA,NA,NA,EMOBON_UMF_Wa_40
EMO BON UMF Wa 221201 0.2um (3),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,3,3.7,1,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_41
EMO BON UMF Wa 221201 0.2um (4),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,1,4,3.7,1,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_42
EMO BON UMF Wa 221201 3um (Blank),EMOBON metagenome water sample from station UMF collected on 2022-12-01 size fraction 3-200um,256318,metagenome,metagenome,marine water body [ENVO:00001999],2022-12-01 00:00:00,UMF_Wa_221201,Annie Marie Cox,,no_tide,,NA,blank_1,5,0,3-200,3,200,N,NA,WaSOP1,vacuum pump,2022-12-01 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_43
